,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1150,2.0,2020-01-01 00:29:24,2020-01-01 00:38:32,2.0,1.88,1.0,N,79,170,1.0,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5
1151,2.0,2020-01-01 00:47:02,2020-01-01 00:57:13,1.0,1.41,1.0,N,164,233,1.0,8.5,0.5,0.5,1.5,0.0,0.3,13.8,2.5
1152,2.0,2020-01-01 00:18:30,2020-01-01 00:51:57,1.0,19.29,1.0,N,164,55,1.0,53.5,0.5,0.5,5.88,0.0,0.3,63.18,2.5
1153,2.0,2020-01-01 00:11:02,2020-01-01 00:18:24,1.0,1.19,1.0,N,113,249,1.0,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5
1154,2.0,2020-01-01 00:20:49,2020-01-01 00:50:19,1.0,4.76,1.0,N,125,263,1.0,20.5,0.5,0.5,4.86,0.0,0.3,29.16,2.5
1155,2.0,2020-01-01 00:51:00,2020-01-01 00:57:34,1.0,1.12,1.0,N,263,141,2.0,6.5,0.5,0.5,0.0,0.0,0.3,10.3,2.5
1156,2.0,2020-01-01 00:36:37,2020-01-01 00:51:17,1.0,3.05,1.0,N,229,249,2.0,12.0,0.5,0.5,0.0,0.0,0.3,15.8,2.5
1157,2.0,2020-01-01 00:53:02,2020-01-01 01:01:45,2.0,1.0,1.0,N,249,79,1.0,7.0,0.5,0.5,2.0,0.0,0.3,12.8,2.5
1158,2.0,2020-01-01 00:15:36,2020-01-01 00:31:25,2.0,4.58,1.0,N,262,79,1.0,16.5,0.5,0.5,4.06,0.0,0.3,24.36,2.5
1159,2.0,2020-01-01 00:34:57,2020-01-01 00:47:42,1.0,1.37,1.0,N,79,234,1.0,9.5,0.5,0.5,2.66,0.0,0.3,15.96,2.5
1160,1.0,2020-01-01 00:09:47,2020-01-01 00:31:15,2.0,1.8,1.0,N,43,48,2.0,14.5,3.0,0.5,0.0,0.0,0.3,18.3,2.5
1161,1.0,2020-01-01 00:38:12,2020-01-01 01:01:28,3.0,5.8,1.0,N,48,116,1.0,22.0,3.0,0.5,0.0,0.0,0.3,25.8,2.5
1162,1.0,2020-01-01 00:11:40,2020-01-01 00:41:26,4.0,3.6,1.0,N,229,68,1.0,19.5,3.0,0.5,4.65,0.0,0.3,27.95,2.5
1163,1.0,2020-01-01 00:44:48,2020-01-01 00:56:08,1.0,1.4,1.0,N,68,79,1.0,8.5,3.0,0.5,1.0,0.0,0.3,13.3,2.5
1164,1.0,2020-01-01 00:59:57,2020-01-01 01:13:50,4.0,2.0,1.0,N,114,233,2.0,10.5,3.0,0.5,0.0,0.0,0.3,14.3,2.5
1165,2.0,2020-01-01 00:06:28,2020-01-01 00:07:35,2.0,0.02,1.0,N,142,142,2.0,3.0,0.5,0.5,0.0,0.0,0.3,6.8,2.5
1166,2.0,2020-01-01 00:19:16,2020-01-01 00:32:49,2.0,2.94,1.0,N,142,24,2.0,12.0,0.5,0.5,0.0,0.0,0.3,15.8,2.5
1167,2.0,2020-01-01 00:33:50,2020-01-01 00:42:37,2.0,1.92,1.0,N,24,143,1.0,9.0,0.5,0.5,1.0,0.0,0.3,13.8,2.5
1168,2.0,2020-01-01 00:46:15,2020-01-01 00:47:34,2.0,0.23,1.0,N,143,239,2.0,3.0,0.5,0.5,0.0,0.0,0.3,6.8,2.5
1169,2.0,2020-01-01 00:06:20,2020-01-01 00:16:40,2.0,1.05,1.0,N,79,90,1.0,8.0,0.5,0.5,3.54,0.0,0.3,15.34,2.5
1170,2.0,2020-01-01 00:27:29,2020-01-01 00:50:18,2.0,2.38,1.0,N,249,170,2.0,15.0,0.5,0.5,0.0,0.0,0.3,18.8,2.5
1171,2.0,2020-01-01 00:52:13,2020-01-01 01:10:41,3.0,2.63,1.0,N,170,125,1.0,13.5,0.5,0.5,3.0,0.0,0.3,20.3,2.5
1172,2.0,2020-01-01 00:06:35,2020-01-01 00:14:02,1.0,2.08,1.0,N,79,162,1.0,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5
1173,2.0,2020-01-01 00:20:43,2020-01-01 00:23:23,4.0,0.75,1.0,N,137,170,1.0,4.5,0.5,0.5,1.0,0.0,0.3,9.3,2.5
1174,1.0,2020-01-01 00:24:28,2020-01-01 00:30:57,2.0,1.1,1.0,N,234,162,1.0,6.0,3.0,0.5,1.95,0.0,0.3,11.75,2.5
1175,1.0,2020-01-01 00:39:18,2020-01-01 00:54:33,2.0,2.2,1.0,N,164,148,1.0,11.5,3.0,0.5,3.05,0.0,0.3,18.35,2.5
1176,1.0,2020-01-01 00:55:32,2020-01-01 01:23:21,2.0,5.6,1.0,N,148,43,1.0,22.0,3.0,0.5,5.15,0.0,0.3,30.95,2.5
1177,2.0,2020-01-01 00:31:19,2020-01-01 00:45:03,1.0,1.01,1.0,N,163,161,1.0,9.5,0.5,0.5,3.99,0.0,0.3,17.29,2.5
1178,2.0,2020-01-01 00:47:39,2020-01-01 01:01:05,1.0,3.65,1.0,N,161,145,1.0,13.5,0.5,0.5,3.46,0.0,0.3,20.76,2.5
1179,2.0,2020-01-01 00:09:13,2020-01-01 00:17:43,1.0,1.74,1.0,N,234,144,2.0,8.0,0.5,0.5,0.0,0.0,0.3,11.8,2.5
1180,2.0,2020-01-01 00:19:05,2020-01-01 00:39:49,1.0,3.44,1.0,N,211,48,1.0,16.0,0.5,0.5,3.96,0.0,0.3,23.76,2.5
1181,2.0,2020-01-01 00:48:09,2020-01-01 01:20:16,1.0,2.39,1.0,N,48,170,1.0,19.0,0.5,0.5,4.56,0.0,0.3,27.36,2.5
1182,2.0,2020-01-01 00:10:28,2020-01-01 00:18:19,2.0,2.7,1.0,N,209,79,1.0,10.0,0.5,0.5,2.76,0.0,0.3,16.56,2.5
1183,2.0,2020-01-01 00:29:27,2020-01-01 00:45:45,2.0,1.95,1.0,N,79,164,1.0,11.5,0.5,0.5,3.82,0.0,0.3,19.12,2.5
1184,2.0,2020-01-01 00:52:11,2020-01-01 01:13:47,2.0,3.32,1.0,N,234,140,1.0,15.5,0.5,0.5,3.86,0.0,0.3,23.16,2.5
1185,2.0,2020-01-01 00:06:52,2020-01-01 00:26:37,1.0,5.58,1.0,N,90,238,1.0,20.0,0.5,0.5,5.95,0.0,0.3,29.75,2.5
1186,2.0,2020-01-01 00:29:00,2020-01-01 00:34:38,1.0,1.31,1.0,N,43,166,1.0,6.5,0.5,0.5,1.54,0.0,0.3,11.84,2.5
1187,2.0,2020-01-01 00:36:56,2020-01-01 00:44:05,1.0,1.81,1.0,N,151,236,1.0,8.0,0.5,0.5,2.36,0.0,0.3,14.16,2.5
